scorer,,,Anir,Anir,Anir,Anir,Anir,Anir,Anir,Anir,Anir,Anir,Anir,Anir,Anir,Anir,Anir,Anir
bodyparts,,,Nose,Nose,Left_ear,Left_ear,Right_ear,Right_ear,Front_left_paw,Front_left_paw,Front_right_paw,Front_right_paw,Body_center,Body_center,Tail_start,Tail_start,Tail_end,Tail_end
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,J6-491,img01803.png,815.887016958183,822.7117411882394,820.7572256872975,855.6436287851083,846.7316722425743,841.9606614033106,829.1061549372079,873.9648901946339,862.9657013396222,839.4095996880602,865.5167630548726,868.6308520627467,870.5083893039011,897.3477028727734,771.4701743656606,898.7574995266986
labeled-data,J6-491,img02853.png,739.7497496523451,839.8984892253242,770.7652760386981,856.1111507454633,768.6505810578103,828.9725651574045,791.2073275206125,859.2831932167948,780.633852616174,811.7025561468216,809.1822348581579,836.7264467539927,838.0830662636231,825.4480735225917,791.2073275206125,899.4623978536612
labeled-data,J6-491,img03705.png,762.3064961151472,811.7025561468216,775.6995643274361,838.1362434079177,796.4940649728317,812.4074544737841,794.379369991944,859.6356423802761,812.3542773294895,812.4074544737841,844.074702042805,845.1852266775435,807.4199890407515,898.7574995266986,,
labeled-data,J6-491,img04591.png,813.7640739834146,804.3011237137147,817.6410147817087,837.4313450809552,842.3124562253986,820.1613360703724,814.8214214738584,850.1195149662814,853.9432786202808,818.7515394164473,848.6565411680616,851.5293116202066,844.074702042805,881.1350413526344,750.675673720265,880.4301430256718
labeled-data,J6-491,img05246.png,810.592031512083,802.1864287328269,814.4689723103771,830.7348109748111,839.1404137540669,817.6941919260037,813.059175656452,848.004819985394,847.9516428410991,818.7515394164475,845.48449869673,853.2915574376132,846.8942953506552,883.2497363335224,743.2742412871579,886.4217788048538
labeled-data,J6-491,img05673.png,807.4199890407515,801.4815304058645,810.9444806755644,833.2019551191801,837.0257187731793,820.1613360703726,810.5920315120829,855.7587015819822,847.5991936776177,824.390726032148,845.1320495332487,857.8733965628699,847.2467445141365,883.9546346604849,745.7413854315269,888.1840246222603
labeled-data,J6-491,img05771.png,822.9277522339279,796.8996912806078,817.2885656182274,824.390726032148,845.1320495332487,822.6284802147416,807.0675398772702,840.2509383888057,855.0006261107246,827.9152176669609,840.1977612445107,855.4062524185009,847.5991936776177,883.9546346604849,746.0938345950082,888.1840246222603
labeled-data,J6-491,img06722.png,348.98863715333147,693.3073874259055,327.1367890174919,723.6180154852958,351.8082304611817,730.6669987549215,313.7437208052031,744.0600669672102,357.79986624036354,759.2153809969054,333.83332312363626,792.3456023641461,337.35781475844914,830.4101120201246,439.5680721680213,875.1711557822478
labeled-data,J6-491,img06820.png,733.8631344307876,403.2417473925989,716.5931254202046,421.92155305710685,743.3792618447821,431.08523130762023,702.1427097174721,437.78176541376456,739.5023210464881,456.8140202417539,709.5441421505791,486.4197499741817,695.4461756113277,539.9920228233367,634.824919492547,656.6526959356414
labeled-data,J6-491,img06984.png,769.8129491058785,252.3935161785045,794.131941386087,264.7292369003494,803.2956196366003,240.41024462014087,805.410314617488,291.16292416144563,822.6803236280709,240.4102446201409,833.958696859472,278.82720343960074,847.704214235242,318.6539589129858,834.3111460229533,442.36361529491614
labeled-data,J6-491,img07148.png,205.83619122756824,643.5341626527006,204.96720961304948,603.5610083848371,178.0287795629675,615.7267509880999,210.1810993001621,584.0089220581647,161.9526196943702,570.5397070331237,183.24266925008013,546.6427126338575,178.0287795629675,492.33136172643424,172.38039906859547,388.0535679841815
labeled-data,J6-491,img07804.png,175.69951122020504,444.2256220373496,204.95279178915152,442.11092705646195,187.33033361508737,414.9723414684031,227.50953825195367,445.987867854756,202.13319848130126,401.57927325611433,238.08301315639218,410.03805317966516,276.8524211393333,385.014162572494,401.61942501170756,408.2758073622587
labeled-data,J6-491,img07902.png,209.88708007788952,455.8564444322319,223.98504661714085,430.48010466157956,194.02686772123175,426.60316386328543,243.36975060861138,429.775206334617,203.19054597174514,388.18620504382557,237.73056399291087,399.1121291117454,274.38527699496433,379.02252679331224,376.9479835680178,406.51356154485234
labeled-data,J6-491,img08132.png,200.37095266389488,433.6521471329111,221.87035163625316,416.38213812232823,192.96952023078794,407.21845987181484,246.89424224342426,417.79193477625336,208.12483426048308,377.61273013938705,237.37811482942962,397.34988329433895,271.21323452363276,378.670077629831,385.40676349156854,374.0882385045743
labeled-data,J6-491,img08296.png,182.74849448983068,447.04521534519984,201.78074931782,428.7178588441732,176.4044095471676,413.21009565099666,223.2801482901783,432.94724880594856,193.6744185577505,393.4729424960448,230.68158072328524,397.70233245782026,275.79507364888946,377.61273013938705,382.5871701837183,372.32599268716785
labeled-data,J6-491,img08329.png,240.19770813727988,449.86480865305015,232.79627570417293,426.2507146998042,212.70667338573978,447.04521534519984,256.05792049393756,429.775206334617,199.66605433693232,389.24355253426944,240.55015730076113,399.1121291117454,278.2622177932584,377.61273013938705,390.69350094378774,343.42516128170263
labeled-data,J6-491,img08525.png,206.3625884430767,440.3486812390555,239.140360646836,404.7513157274459,203.8954442987077,394.88273914997,250.06628471475577,410.3905023431464,220.46055498232798,363.16231443665447,245.48444558949913,383.9568150820502,278.2622177932584,367.74415356191116,388.5788059629001,369.85884854279885
labeled-data,J6-491,img08591.png,221.87035163625316,432.94724880594856,241.2550556277237,392.76804416908226,209.88708007788952,392.0631458421197,255.70547133045633,405.8086632178897,219.05075832840285,359.2853736383604,250.77118304171833,379.3749759567935,273.3279295045205,365.9819077445047,388.2263567994188,363.8672127636171
labeled-data,J6-491,img08722.png,219.05075832840285,428.01296051721056,229.2717840693601,406.8660107083336,201.07585099085745,402.6366207465582,251.47608136868095,411.09540067010903,216.2311650205526,361.40006861924803,242.31240311816757,383.2519167550876,272.9754803410392,365.2770094175422,385.05431432808723,352.2363903687347
labeled-data,J6-491,img08919.png,216.2311650205526,443.16827454690576,239.84525897379856,407.21845987181484,208.12483426048308,401.57927325611433,255.00057300349377,411.4478498335903,223.98504661714085,354.7035345131037,246.89424224342426,384.66171340901275,276.14752281237077,366.68680607146734,371.30879695231727,356.46578033051014
labeled-data,J6-491,img09148.png,291.302836842066,382.89946759160637,278.2622177932584,378.3176284663497,284.2538535724402,403.6939682370021,266.2789462348949,364.9245602540609,262.0495562731194,420.6115280841036,240.55015730076113,388.18620504382557,277.5573194662959,365.2770094175422,377.6528818949803,342.0153646277775
labeled-data,J6-491,img09247.png,223.63259745365954,446.6927661817186,228.56688574239755,410.7429515066277,204.60034262567027,411.09540067010903,247.95158973386808,412.50519732403416,208.82973258744565,367.39170439842985,239.4928098103173,381.48967093768124,276.14752281237077,367.0392552349486,381.17737352979316,336.0237288485957
labeled-data,J6-491,img09345.png,264.51670041748844,356.46578033051014,269.4509887062263,375.8504843219807,284.95875189940284,393.4729424960448,252.88587802260608,363.16231443665447,266.9838445618574,414.6198923049218,235.61586901202318,389.948450861232,282.4916077550339,363.5147636001358,384.3494160011247,333.2041355407454
labeled-data,J6-491,img09378.png,286.01609938984666,384.66171340901275,269.4509887062263,388.18620504382557,275.79507364888946,411.4478498335903,249.3613863877932,370.5637468697614,261.6971071096382,419.9066297571411,234.20607235809806,391.0057983516758,271.9181328505954,366.33435690798603,383.2920685106808,340.9580171373336
labeled-data,J6-491,img09443.png,234.20607235809806,441.053579566018,235.26341984854187,407.21845987181484,206.71503760655796,409.3331548527026,252.18097969564352,406.161112381371,201.78074931782,369.5063993793176,237.73056399291087,378.3176284663497,268.0411920523012,362.10496694621065,362.4975678652851,370.5637468697614
labeled-data,J6-491,img09607.png,234.91097068506062,439.29133374861163,237.0256656659483,407.57090903529615,207.77238509700183,409.3331548527026,253.59077634956864,409.3331548527026,201.4283001543387,373.3833401776117,234.5585215215793,380.7847726107186,266.2789462348949,359.9902719653229,376.24308524105516,343.7776104451839
labeled-data,J6-491,img09739.png,329.7197956615257,700.1037362365506,324.7855073727878,662.0392265805721,294.8273284768787,676.842091446786,326.90020235367547,632.081047684663,281.4342602645899,651.4657516761336,288.1307943707343,620.802674453262,276.49997197585196,580.2710206529143,321.26101573797496,473.83137328156675
labeled-data,J6-491,img09837.png,394.5704417420818,663.0965740710158,358.97307623047226,653.5804466570211,360.73532204787864,686.7106680242617,351.92409296084656,642.30207342562,351.92409296084656,692.7023038034436,326.54775319019416,669.0882098501977,298.35182011169155,654.6377941474651,288.4832435342156,568.640198258032
labeled-data,J6-491,img10296.png,381.52982269327435,660.6294299266468,359.6779745574348,652.8755483300586,357.56327957654713,680.0141339181174,359.3255253939535,640.1873784447324,345.93245718166474,687.7680155147056,325.8428548632316,667.3259640327913,301.1714134195418,649.3510566952458,266.27894623489476,558.7716216805561
labeled-data,J6-491,img10493.png,380.8249243663118,653.5804466570211,354.39123710521557,659.572082436203,359.6779745574348,685.6533205338179,345.2275588547022,642.6545225891014,345.2275588547022,695.8743462747751,319.4987699205685,668.7357606867165,289.89304018814073,656.4000399648714,260.63975961919425,574.6318340372138
labeled-data,J6-491,img10657.png,384.7018651646059,653.5804466570211,356.15348292262195,649.703505858727,361.7926695383225,676.1371931198233,343.1128638738145,639.1300309542885,349.1044996529963,693.0547529669249,324.7855073727878,669.440659013679,293.0650826594723,668.0308623597539,233.85362319461674,592.6067413747594
labeled-data,J6-491,img10821.png,355.8010337591407,723.7178301897965,368.84165280794815,701.8659820539569,342.0555163833707,709.9723128140264,369.19410197142946,669.7931081771602,325.49040569975034,701.865982053957,327.2526515171568,669.7931081771603,292.0077351690284,658.8671841092405,219.7556566553654,606.7047079140107
labeled-data,J6-491,img10853.png,372.7185936062423,736.4060000751227,365.31716117313533,700.808634563513,342.4079655468519,716.3163977566895,367.78430531750433,675.7847439563419,327.95754984411934,705.0380245252886,327.60510068063803,667.6784131962726,297.646921784729,652.5230991665774,212.70667338573975,601.0655212983102
labeled-data,J6-491,img10952.png,394.9228909055631,706.4478211792136,366.0220595000979,697.2841429287002,361.08777121135995,725.4800760072029,358.97307623047226,680.7190322450799,343.1128638738145,726.5374234976467,330.07224482500703,699.0463887461068,304.3434558908733,670.4980065041228,282.8440569185151,567.5828507675882
labeled-data,J6-491,img10985.png,295.53222680384124,663.4490232344972,318.0889732666434,664.1539215614598,342.4079655468519,650.0559550222083,310.33509167005514,676.842091446786,358.2681779035097,671.9078031580478,331.48204147893216,697.2841429287002,297.2944726212477,659.2196332727217,274.3852769949643,570.0499949119571
labeled-data,J6-491,img11116.png,386.4641109820123,670.4980065041227,358.97307623047226,683.8910747164115,370.95634778883584,709.2674144870639,344.5226605277396,666.2686165423473,358.62062706699095,719.8408893915024,326.90020235367547,704.6855753618073,309.9826425065739,669.440659013679,310.68754083353645,557.3618250266309
labeled-data,J6-491,img11148.png,382.9396193471995,692.3498546399622,357.9157287400284,691.997405476481,361.7926695383225,718.4310927375772,357.2108304130658,678.9567864276736,339.58837223900167,727.5947709880905,326.9002023536755,701.513532890476,309.2777441796113,672.2602523215296,310.68754083353645,555.9520283727061
labeled-data,J6-491,img11247.png,349.4569488164776,652.1706500030964,340.64571972944555,662.7441249075349,367.78430531750433,674.022498138936,327.6051006806381,670.1455573406419,363.9073645192102,702.9233295444012,330.07224482500703,709.2674144870643,317.38407493968083,669.4406590136794,317.73652410316214,555.2471300457436
labeled-data,J6-491,img11935.png,379.0626785489054,686.7106680242621,352.2765421243279,689.8827104955938,364.2598136826915,713.849253612321,360.03042372091613,673.3175998119734,354.7436862686969,721.6031352089092,328.30999900760065,707.5051686696579,313.15468497790545,677.5469897737488,313.15468497790545,565.1157066232195
labeled-data,J6-491,img12099.png,383.6445176741621,689.8827104955938,356.153482922622,686.0057696972996,357.91572874002844,714.9066011027649,367.07940699054177,673.6700489754546,348.0471521625525,721.9555843723905,324.0806090458252,697.6365920921819,303.6385575639108,674.3749473024172,303.99100672739206,573.222037383289
labeled-data,J6-491,img12231.png,388.93125512638136,702.2184312174386,366.3745086635792,691.9974054764814,372.366144442761,718.0786435740963,371.30879695231715,676.8420914467863,359.32552539395357,725.4800760072033,336.41632976767016,699.0463887461071,308.92529501613006,674.022498138936,299.7616167656167,570.4024440754388
labeled-data,J6-491,img12263.png,387.8739076359375,700.103736236551,357.2108304130659,692.3498546399627,354.7436862686969,718.7835419010589,358.620627066991,673.6700489754546,336.7687789311514,724.0702793532782,324.4330582093065,698.6939395826257,303.99100672739206,671.555353994567,299.7616167656167,569.6975457484762
