scorer,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080,DLC_Resnet50_Projet_finalJul8shuffle1_snapshot_080
bodyparts,Nose,Nose,Nose,Left_ear,Left_ear,Left_ear,Right_ear,Right_ear,Right_ear,Front_left_paw,Front_left_paw,Front_left_paw,Front_right_paw,Front_right_paw,Front_right_paw,Body_center,Body_center,Body_center,Tail_start,Tail_start,Tail_start,Tail_end,Tail_end,Tail_end
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,919.53644,560.7593,1.0,889.78064,540.88074,1.0,894.923,567.8728,1.0,867.91693,534.8259,1.0,874.82996,583.6554,1.0,845.7191,562.77905,1.0,803.4136,564.0929,1.0,717.1505,648.2322,1.0
1,918.65436,562.23755,1.0,889.72906,542.7826,1.0,893.62915,569.42065,1.0,867.9536,535.44147,1.0,874.24713,585.3286,1.0,845.77325,563.136,1.0,803.34125,563.00397,1.0,716.6606,648.46466,1.0
2,918.89496,567.55054,1.0,891.6918,546.30835,1.0,894.06616,573.4893,1.0,868.9708,537.0572,1.0,872.69464,587.29877,1.0,845.1939,564.4358,1.0,802.3921,563.52155,1.0,718.2315,649.2423,1.0
3,918.7081,567.6315,1.0,891.417,547.60754,1.0,894.2462,574.7922,1.0,869.5248,537.8868,1.0,871.49493,589.66473,1.0,845.5814,565.3308,1.0,802.4747,562.5882,1.0,717.7687,649.43823,1.0
4,918.7077,567.62866,1.0,891.42194,547.61176,1.0,894.24316,574.79095,1.0,869.53937,537.88916,1.0,871.55237,589.67145,1.0,845.614,565.3695,1.0,802.47516,562.5637,1.0,717.8265,649.4992,1.0
5,919.09204,566.53357,1.0,890.67206,548.29553,1.0,894.69946,574.6506,1.0,869.8626,538.28314,1.0,871.612,590.1618,1.0,846.37573,565.9738,1.0,803.3762,562.9485,1.0,719.0463,648.3692,1.0
6,919.75867,566.4641,1.0,891.18744,548.53894,1.0,895.63776,574.83356,1.0,870.17236,538.3862,1.0,872.0051,590.55054,1.0,846.7141,566.2483,1.0,803.50006,563.47296,1.0,722.0923,648.1364,1.0
7,919.7933,566.97925,1.0,891.05725,549.56433,1.0,895.5619,575.50476,1.0,870.4281,539.0475,1.0,871.75305,591.52637,1.0,846.961,566.71826,1.0,803.86005,563.31616,1.0,722.6698,649.8416,1.0
8,917.91327,562.61127,1.0,890.8879,549.8384,1.0,895.84686,575.6549,1.0,870.76196,539.8586,1.0,872.1461,591.30914,1.0,847.6588,567.78894,1.0,804.2453,562.64514,1.0,720.82227,650.38763,1.0
9,919.83234,561.4829,1.0,890.55206,549.0091,1.0,896.8842,575.155,1.0,870.5207,539.71844,1.0,872.46484,591.38385,1.0,847.6691,567.82947,1.0,804.2492,562.6263,1.0,720.4507,648.9731,1.0
10,920.4359,560.63696,1.0,892.01794,549.10785,1.0,898.51764,574.89465,1.0,871.0097,539.80927,1.0,873.96497,591.64746,1.0,848.3892,568.8136,1.0,804.2906,563.44794,1.0,720.88446,648.8378,1.0
11,918.7015,557.3333,1.0,892.34296,549.6186,1.0,901.3041,574.80615,1.0,870.75757,539.77057,1.0,874.6294,591.9615,1.0,849.0166,568.6089,1.0,804.5728,563.24243,1.0,719.8236,650.1529,1.0
12,917.6132,551.89624,1.0,889.89215,548.00336,1.0,901.2878,572.6402,1.0,869.2249,538.47485,1.0,874.6865,591.30774,1.0,849.061,567.6886,1.0,805.0866,562.029,1.0,720.05853,648.56274,1.0
13,914.51465,544.58496,1.0,891.56836,545.8069,1.0,902.5861,568.17645,1.0,868.0591,536.4365,1.0,878.25446,586.9029,1.0,848.4645,564.4826,1.0,805.31226,561.6999,1.0,721.72906,647.84106,1.0
14,911.07654,538.24896,1.0,889.3782,538.82446,1.0,903.4542,560.10706,1.0,866.9966,532.67615,1.0,879.9686,582.9036,1.0,848.85754,561.8268,1.0,805.24066,561.265,1.0,721.94214,648.5449,1.0
15,906.603,529.0815,0.92633307,888.74207,533.59326,0.9306392,906.09155,555.07336,1.0,864.2287,529.7935,1.0,882.46216,577.21027,1.0,849.1815,559.7669,1.0,807.0001,561.23413,1.0,722.54626,647.752,1.0
16,904.07947,521.2141,0.94042,887.05554,526.60297,0.9279929,908.54016,545.5353,1.0,863.8921,527.45,1.0,885.8191,570.8393,1.0,849.4643,557.4823,1.0,808.0254,561.4357,1.0,723.0492,649.40894,1.0
17,902.0237,517.564,0.8823225,887.0808,520.6846,1.0,907.57794,538.67676,1.0,865.9773,523.1173,1.0,888.37225,563.7189,1.0,852.5066,554.5071,1.0,810.8064,561.82574,1.0,727.90564,649.12994,1.0
18,905.63385,512.06573,0.92219824,886.763,514.57587,0.9737207,910.32874,532.41016,1.0,867.1864,517.99384,1.0,893.8841,559.32263,1.0,856.11115,552.6384,1.0,815.03326,562.8293,1.0,734.58435,649.5885,1.0
19,906.1957,507.86148,0.96382064,888.88,511.33612,1.0,912.4786,528.64764,1.0,868.82135,515.50464,1.0,896.85657,553.8499,1.0,859.37775,551.786,1.0,820.0087,566.3419,1.0,740.0467,655.2383,1.0
20,907.326,504.2193,0.9770113,890.35223,508.41318,1.0,914.3122,525.5235,1.0,870.3409,513.3881,1.0,901.26904,550.42096,1.0,864.23065,550.3594,1.0,824.2425,567.5855,1.0,744.7831,658.238,1.0
21,905.51654,501.388,0.95091736,890.38214,508.28735,1.0,915.6781,523.63245,1.0,870.1254,513.811,1.0,905.4184,547.4109,1.0,867.6229,549.8108,1.0,828.9302,570.67267,1.0,746.10535,661.92786,1.0
22,904.60004,498.1873,0.96213615,889.9006,507.42404,1.0,916.13403,520.7822,1.0,870.6995,514.2334,1.0,907.92346,546.2498,1.0,869.6891,551.06146,1.0,832.3745,573.6959,1.0,748.5937,664.282,1.0
23,906.04626,493.8218,1.0,889.1646,505.19397,1.0,915.8853,516.7055,1.0,872.0202,514.0497,1.0,908.6105,543.47174,1.0,871.67444,551.19446,1.0,833.84216,576.223,1.0,747.9278,663.5907,1.0
24,907.4486,488.78754,0.93351865,889.1471,498.21158,1.0,917.3431,509.764,1.0,873.04865,510.32837,1.0,910.49835,536.673,1.0,873.687,546.868,1.0,838.1334,574.9125,1.0,753.72565,662.1424,1.0
25,907.44006,481.855,0.9938077,891.1434,492.03976,1.0,918.90765,504.46576,1.0,872.9315,504.84177,1.0,911.2864,529.8792,1.0,874.04004,541.9231,0.9726713,843.35925,571.60046,1.0,762.4139,662.7109,1.0
26,906.9569,473.4859,0.8825321,890.04205,484.9153,1.0,920.7897,495.0861,1.0,875.0453,502.11072,1.0,914.70026,521.356,1.0,879.8977,534.9421,0.9717223,847.85425,569.2954,1.0,769.14166,661.36707,1.0
27,899.0938,465.72165,0.78456014,891.6429,481.97537,1.0,921.0917,488.5459,1.0,875.1542,499.7866,1.0,917.5997,514.45953,1.0,883.11554,531.39105,1.0,854.6037,565.49945,1.0,777.24207,659.37897,1.0
28,895.8587,463.88763,0.79862165,889.6314,477.58774,1.0,919.93634,483.2539,1.0,875.98895,496.1498,1.0,917.6173,509.8394,1.0,884.60535,528.2552,1.0,858.68,563.29266,1.0,785.45135,656.5705,1.0
29,890.9545,456.45035,0.82919127,888.91437,475.48398,1.0,919.1907,479.09485,1.0,873.74445,493.70694,1.0,919.30786,505.4581,1.0,886.3738,527.2482,1.0,860.91095,559.51904,1.0,792.7656,660.0563,1.0
30,888.0989,451.87674,0.8910239,883.39386,471.458,1.0,913.9947,472.25986,1.0,873.126,490.56323,1.0,916.5854,497.64252,1.0,885.6556,523.11475,1.0,861.63776,555.61255,1.0,792.8969,659.92615,1.0
31,884.1782,448.2986,0.8827552,882.13544,464.3979,1.0,912.6926,465.3223,1.0,871.67993,487.30145,1.0,915.43915,490.76492,1.0,887.6287,517.7589,1.0,864.92554,553.75006,1.0,798.8563,654.7276,1.0
32,884.81555,440.2399,0.8724793,882.7342,458.8359,1.0,913.0943,460.49722,1.0,871.2155,482.25702,1.0,915.60114,484.97385,1.0,889.72,513.0738,1.0,872.2397,550.95966,1.0,803.9347,654.3424,1.0
33,886.4485,435.72763,0.96080863,879.7906,454.8919,1.0,910.6888,453.8304,1.0,869.38885,475.8754,1.0,914.7995,478.16467,1.0,891.04596,505.4933,1.0,879.48193,547.1403,1.0,814.5308,648.4081,1.0
34,884.42914,431.10385,0.92699873,880.30164,448.1578,1.0,910.66077,448.23944,1.0,870.90875,468.5693,1.0,915.6634,471.80783,1.0,893.4998,499.21967,1.0,886.72186,542.5077,1.0,832.18335,645.04913,1.0
35,889.7106,423.0021,0.8639116,883.6033,442.07962,1.0,912.61914,440.50604,1.0,874.048,463.01843,1.0,918.29736,464.40286,1.0,896.0817,493.00787,1.0,893.926,537.0346,1.0,851.56335,644.8579,1.0
36,892.9473,415.96274,0.87024057,884.1989,435.11377,1.0,915.20044,434.80637,1.0,875.0171,453.66367,1.0,920.1272,456.28427,1.0,898.7294,487.361,1.0,899.25024,531.865,1.0,868.3943,640.4786,1.0
37,890.12946,405.64185,0.843708,881.71796,425.0183,1.0,913.29974,422.7098,1.0,877.2899,449.86423,1.0,920.98517,446.4921,1.0,902.30273,477.7883,1.0,901.41425,522.1468,1.0,868.6524,638.11664,1.0
38,890.4806,399.3233,0.9060559,882.2698,417.24567,1.0,914.4937,414.48276,1.0,876.22577,441.9487,1.0,921.57495,438.63525,0.985072,901.698,470.56714,1.0,899.80444,513.937,1.0,874.6755,624.1863,1.0
39,891.19696,390.58304,0.90085113,881.624,409.12283,1.0,911.13794,406.5838,1.0,876.58563,435.72272,1.0,920.60175,429.69247,0.9987855,902.00323,462.03497,0.9981884,897.0561,506.70734,1.0,871.4263,623.1847,1.0
40,891.10455,386.6403,0.9298226,881.12366,405.94638,1.0,911.5565,401.9905,1.0,876.2222,428.03824,0.96247363,921.3814,424.16052,0.99522144,901.6078,456.83298,0.9826254,896.4296,498.9464,1.0,869.9072,616.9221,1.0
41,884.0139,384.9602,0.9631053,879.51587,401.78177,1.0,911.06366,396.06683,1.0,875.1259,428.95078,1.0,920.06824,418.94705,1.0,902.4422,452.75348,1.0,896.9135,496.94403,1.0,864.79443,608.9915,1.0
42,884.1818,380.47595,0.9928698,880.4832,396.70178,1.0,910.8304,391.68515,1.0,874.9101,424.3416,1.0,920.08716,415.90936,1.0,903.0655,447.77762,1.0,898.4773,492.1616,1.0,872.0999,606.5892,1.0
43,889.0236,373.23523,0.89478064,880.8827,391.78665,1.0,909.80695,388.63965,1.0,873.60925,418.97873,1.0,920.576,409.9138,1.0,905.4303,443.43448,1.0,904.11664,486.26492,1.0,878.3327,603.4124,1.0
44,891.9419,368.09073,0.8333032,881.50714,386.38333,1.0,910.5979,382.42548,1.0,874.41754,412.0746,1.0,920.72534,405.55923,1.0,904.73804,436.89447,1.0,906.89655,479.5887,1.0,885.2881,604.01465,1.0
45,894.987,361.77795,0.8687923,883.6593,379.77368,1.0,913.3949,379.20105,1.0,875.6507,405.69867,1.0,920.9102,400.5227,1.0,904.1619,430.13702,0.9676105,907.20374,475.32947,1.0,894.98895,597.10297,1.0
46,897.22064,354.37332,0.83112895,885.0194,372.68967,1.0,916.9547,371.29474,1.0,878.0864,397.85654,0.9697117,921.6818,393.38092,0.93210626,904.98035,424.315,0.9802206,908.423,468.58508,1.0,895.34503,592.29877,1.0
47,899.8105,343.8815,0.8208241,889.35297,359.25797,1.0,920.3484,362.34283,1.0,879.8538,382.56308,0.96347874,923.8907,383.7661,1.0,905.5768,416.44617,1.0,909.7683,463.5151,1.0,898.2934,578.04065,1.0
48,899.21716,335.79224,0.8424572,888.8512,350.8581,1.0,919.31415,352.35107,1.0,878.9824,373.66275,1.0,924.27515,376.84766,1.0,903.49603,409.69995,1.0,907.2988,453.41425,1.0,897.23206,568.6797,1.0
49,896.18585,331.44818,0.6798685,889.4376,345.27362,1.0,920.4274,345.2604,1.0,879.31445,368.78857,1.0,925.1969,367.28113,1.0,905.50903,399.77338,1.0,904.833,443.84454,1.0,888.2505,557.5836,1.0
50,896.04395,323.41162,0.81579953,887.35675,339.38516,1.0,917.1398,337.94217,1.0,879.42267,363.47086,1.0,922.6526,360.9186,0.943717,904.0039,394.66595,1.0,903.2404,437.02954,1.0,888.1737,557.76465,1.0
51,894.9147,316.8165,0.6464744,884.0357,331.88718,1.0,913.83636,330.2388,1.0,877.2299,358.37387,0.9829258,921.7399,352.12216,1.0,904.17834,387.06955,0.94873005,898.2828,431.57806,1.0,889.90643,552.659,1.0
52,890.73303,307.6642,0.82894707,878.19464,324.5594,1.0,909.1806,322.30408,1.0,874.9174,350.35785,0.91948706,918.5953,344.70517,1.0,902.08875,378.66046,0.9296053,896.04443,422.911,1.0,889.2077,544.9755,1.0
53,886.25275,301.5016,0.9620613,877.8566,318.75403,1.0,907.80347,314.83438,1.0,873.2561,345.07706,1.0,919.497,338.53174,1.0,903.7751,371.25296,0.9432592,900.8349,414.92422,1.0,892.51556,535.5848,1.0
54,888.47156,292.7635,0.9038885,877.74744,312.5721,1.0,907.25616,308.1905,1.0,873.39404,339.04825,1.0,918.2811,328.03546,1.0,905.0378,362.05075,0.87885636,907.9087,407.85403,1.0,895.656,533.3688,1.0
55,889.76556,287.22955,0.90813524,877.17444,304.76663,1.0,906.65704,301.38242,1.0,873.42444,331.67587,0.9258719,917.6267,323.66782,1.0,904.4288,354.9965,0.9047471,911.51105,399.8187,1.0,918.59796,521.78406,1.0
56,891.8767,278.36923,0.90242374,878.25134,297.32416,1.0,907.42474,295.8418,1.0,872.50757,323.88867,0.99079484,916.7611,316.5362,1.0,903.5408,349.24188,0.94181234,912.0983,394.14432,1.0,929.20325,511.23294,1.0
57,894.044,271.69757,0.8034814,878.7399,288.71432,1.0,908.57526,288.10815,1.0,872.5545,315.45508,0.98455566,917.7269,309.18036,1.0,903.68524,341.33292,1.0,911.8356,384.21625,1.0,929.7137,507.33142,1.0
58,890.01483,260.70477,0.82385683,878.30133,281.9881,1.0,907.0274,279.17413,1.0,875.9333,313.6007,0.9260586,919.38776,302.02603,1.0,904.7698,334.99396,0.83890754,910.72003,379.64688,1.0,926.3365,495.70456,1.0
59,930.4421,341.05554,0.07118033,873.5415,277.19907,0.33604088,919.65875,294.7799,0.31515232,877.8575,303.59326,0.7555658,923.1578,307.00143,0.5801513,903.3074,326.56015,0.6966803,910.9314,369.55783,1.0,920.66,481.46982,1.0
60,893.27515,241.05685,0.79570985,879.7236,263.46808,0.7848477,912.98224,274.7766,0.6705252,874.4134,291.96683,0.9096373,920.47974,291.20004,0.78657687,903.8625,318.95212,0.6932392,907.19104,362.90802,1.0,915.33636,480.00198,1.0
61,893.1294,219.07129,0.5925029,880.0958,249.24556,1.0,905.8322,247.00148,0.81403476,874.3976,278.57993,0.87159866,915.89746,269.29614,0.871825,903.6502,302.8431,0.6084972,900.5593,352.15015,0.7838211,913.3864,474.20172,1.0
62,895.26013,223.32625,0.88708305,884.81824,249.47789,0.9606592,906.2819,244.11092,0.8371874,877.71295,272.21564,0.7445857,919.5199,266.8994,0.7820915,902.0725,301.32532,0.76908726,897.2719,342.74417,0.9820548,911.114,462.75012,1.0
63,895.3949,215.74481,1.0,883.4282,233.34573,1.0,909.0882,232.37912,1.0,874.8898,263.45926,1.0,919.4149,257.6327,0.8991525,903.3318,292.80527,0.8429813,902.635,336.229,1.0,907.3279,456.63535,1.0
64,897.37805,208.1208,0.9462092,878.5522,230.99127,0.9727049,906.91284,230.75139,0.9201706,871.8981,257.96878,0.7417039,915.2654,253.48816,0.7709335,899.27826,272.7925,0.36256427,908.5595,335.65674,0.14653291,916.30646,453.65628,1.0
65,896.3435,204.75374,0.96265125,880.1152,225.88539,1.0,906.3245,227.86525,1.0,872.6282,251.50961,0.7307667,914.81464,250.34004,0.8246871,900.93396,272.0473,0.4586966,904.2154,324.90112,0.95328027,920.04114,444.99008,1.0
66,896.6149,195.06741,1.0,880.0175,217.89514,1.0,907.6359,214.95418,1.0,873.0159,247.44476,0.9398177,916.7872,240.94385,1.0,901.0654,276.5304,0.95358425,905.4744,322.062,1.0,921.6233,439.58545,1.0
67,896.48444,190.27968,0.9624801,878.70917,211.9887,1.0,907.8722,211.62143,1.0,872.7672,241.15076,0.88155013,915.6268,234.34343,1.0,899.3913,271.12445,0.93001515,906.147,317.2042,1.0,886.1332,186.16748,0.08822424
68,896.85834,183.1827,1.0,879.3782,208.55264,1.0,908.96387,209.82048,0.9360188,873.3995,236.10992,0.91316456,918.44885,232.58725,0.9727714,902.3726,264.60773,0.96868664,906.48285,306.8296,1.0,919.89435,425.76077,0.8897266
69,897.5177,176.01332,1.0,880.9747,202.29959,1.0,907.2361,202.52194,0.9054416,874.0766,231.40886,0.9642573,919.05646,225.32643,0.9935401,903.4174,261.09055,0.93977755,908.8931,302.51935,1.0,919.14734,421.07126,1.0
70,904.0116,173.8848,1.0,882.80273,198.69162,1.0,909.7655,199.43227,1.0,877.43176,226.26414,0.9282661,921.39545,222.88048,1.0,903.72455,259.102,0.9919095,908.77563,300.36154,1.0,915.2337,421.69604,1.0
71,910.5009,174.5315,1.0,884.92755,198.9337,1.0,912.3865,200.43501,1.0,877.3774,225.72145,0.9696552,921.40656,222.93755,1.0,904.54755,255.4882,0.97476983,907.23724,298.41116,1.0,912.5424,419.43307,1.0
72,920.1617,175.42891,1.0,887.7566,198.76222,1.0,915.6489,206.25644,1.0,875.5722,224.80742,0.92571694,922.13965,226.36884,0.9872529,903.14014,253.81967,0.8574304,905.009,297.86093,1.0,920.1277,416.1531,1.0
73,923.9544,175.84224,1.0,890.4337,197.60431,1.0,917.3813,206.2663,1.0,875.56433,223.62566,0.90453225,920.42126,226.52393,1.0,901.3779,254.31949,0.9899465,903.1366,300.43887,1.0,921.539,412.98062,1.0
74,925.3479,176.18512,1.0,891.2041,200.18434,1.0,916.9136,209.28125,1.0,876.943,224.53935,0.9182646,920.02637,230.4953,1.0,900.2829,257.35184,1.0,902.3647,301.1352,1.0,917.79913,417.39914,1.0
