"","Nose_x","Nose_y","Nose_p","Ear_left_x","Ear_left_y","Ear_left_p","Ear_right_x","Ear_right_y","Ear_right_p","Lat_left_x","Lat_left_y","Lat_left_p","Lat_right_x","Lat_right_y","Lat_right_p","Center_x","Center_y","Center_p","Tail_base_x","Tail_base_y","Tail_base_p","Tail_end_x","Tail_end_y","Tail_end_p"
"0",792.5193,785.972,0.99081475,821.8655,802.1975,1,821.45496,771.6167,1,846.17004,814.14703,1,848.17523,761.27985,0.89854413,867.14874,791.2634,1,895.69495,801.9271,1,907.8062,909.53766,1
"1",793.73157,792.6767,1,823.67596,807.3883,1,821.77686,775.8547,1,846.98663,817.0243,0.9417816,845.5207,764.33215,0.9282658,866.20746,793.04517,1,895.6661,801.1656,1,908.81116,910.5723,1
"2",793.3273,798.4933,1,823.5429,812.7596,1,818.83136,783.2084,1,846.87994,818.505,0.92681426,840.25836,766.8872,0.94560957,865.2385,794.95447,1,895.37286,800.64874,1,911.13696,909.5426,1
"3",791.3561,801.49347,1,822.90265,815.8787,1,816.9739,788.42487,1,847.2897,820.1713,0.96381754,837.7554,768.42725,0.9952524,863.509,796.02606,1,895.3699,798.7413,1,913.19653,908.7464,1
"4",790.3136,804.91205,1,820.50305,818.36395,1,814.7679,791.1153,1,845.34235,821.065,0.9732675,835.1622,770.8942,1,860.81506,796.3778,1,893.64716,796.89716,1,920.45306,905.18256,1
"5",786.6203,807.3938,1,818.1044,820.3381,1,811.31177,792.60986,1,842.36456,822.22894,0.9397872,830.10345,771.68286,0.92880523,859.17395,797.26105,1,893.1819,795.06854,1,919.9003,904.258,1
"6",784.4615,806.7135,1,814.07275,820.7277,1,809.4064,793.38074,1,837.9873,823.4427,0.95099336,825.7095,774.65826,0.759923,856.8025,799.3725,0.97081435,892.07965,793.8381,1,920.8503,903.99585,1
"7",779.75415,806.22314,1,809.8009,822.9817,1,806.2584,795.7351,1,833.5043,824.186,0.94882923,821.1019,776.3993,0.93088263,851.7919,800.0995,0.9958516,888.1215,791.4832,1,922.013,901.7203,1
"8",777.53925,809.82434,1,808.36957,824.17163,1,803.4693,796.79095,1,831.1756,824.666,0.93123287,817.3339,777.94244,0.98396826,847.05066,799.58044,0.9662846,885.212,788.99786,1,921.3754,896.2396,1
"9",779.7528,816.9897,1,810.312,824.5699,1,798.20825,798.92426,1,833.36444,822.7563,0.9277712,815.8434,778.08246,1,845.70715,796.68207,1,884.45636,789.9812,1,920.1688,898.6291,1
"10",782.0146,820.899,1,811.32245,824.8903,1,798.65186,800.0441,1,833.2563,820.28375,0.9513448,816.69366,778.23193,1,846.5274,794.94104,1,885.1034,789.5149,1,918.39294,897.3624,1
"11",783.8408,824.91473,1,813.18805,827.61816,1,799.0303,802.4945,1,835.90326,820.9654,0.9386175,816.24054,778.3727,1,846.3028,793.5663,0.9787548,884.87756,787.1626,1,920.6598,895.02454,1
"12",785.63684,829.2422,1,816.07007,827.6443,1,799.13293,803.7498,1,837.6061,822.0185,0.91401124,814.38983,780.2627,1,846.27313,793.6234,0.9939645,883.97736,784.6808,1,928.61707,890.7274,1
"13",784.52094,831.46716,1,816.3765,828.9978,1,797.27216,804.34216,1,837.5332,822.75476,0.8745007,812.992,781.4446,1,845.65735,794.3695,1,883.2108,783.9757,1,930.4501,889.0751,1
"14",784.43896,834.9625,1,814.2816,830.9874,1,795.14594,810.97546,1,838.1234,825.2289,0.91285104,809.98047,784.2529,1,844.71967,795.4729,1,880.0895,780.9689,1,927.97375,888.52686,1
"15",785.20416,837.22705,1,814.9024,834.53906,1,796.8967,813.5612,1,837.9531,826.6861,0.9100371,809.50793,787.4474,1,845.1851,796.18115,1,879.39734,779.8443,1,933.4381,882.6317,1
"16",787.74384,840.9492,1,815.76984,838.764,1,798.2272,816.74945,1,838.42755,828.6129,0.9182138,807.88696,789.96063,0.9510342,844.59247,797.30255,1,879.0452,779.10504,1,936.741,878.4928,1
"17",787.01624,848.08734,1,816.91364,842.17,1,797.2172,819.81445,1,839.131,831.0362,0.96977925,806.25854,792.31586,0.92569727,843.87634,798.63544,1,878.8036,778.91486,1,937.0007,876.36395,1
"18",787.068,851.533,1,816.6272,846.2035,1,795.1141,828.38007,1,837.2223,835.6412,1,803.41785,800.93243,0.926052,841.9779,800.7869,0.91866106,875.3189,779.8611,1,938.0668,874.3057,1
"19",785.12024,853.4322,1,813.54364,848.58,1,794.74976,828.74384,1,836.651,837.6664,1,802.3193,801.881,0.97732806,840.1183,801.6843,0.8928506,872.3577,778.2089,1,939.0176,865.6889,1
"20",782.33984,853.07153,1,812.53546,849.01605,1,793.59766,831.5567,1,834.4194,838.8743,1,801.98474,806.9613,1,838.88995,804.22754,0.91082376,868.7536,776.02673,1,941.7786,853.9055,1
"21",780.7292,854.27875,1,811.034,850.7077,1,793.80035,827.5349,0.998165,831.5,839.70966,0.9768835,800.06793,808.1609,1,838.0634,804.5566,0.93385166,869.29675,775.23065,1,944.7728,847.27203,1
"22",780.61505,857.5733,0.9651215,808.47723,854.5487,1,789.4411,832.7154,0.8772353,830.9947,842.77026,0.93981767,797.10834,811.00305,1,833.74384,808.57556,0.94861096,867.09015,775.50366,1,944.3499,846.89795,1
"23",776.4223,864.91223,1,804.8187,857.9483,1,786.1102,841.78546,1,827.2018,846.3338,1,791.9187,813.6637,0.9790983,831.0826,808.1552,0.9134814,862.93866,776.3548,1,940.92084,845.8755,1
"24",775.898,870.61334,1,804.6707,859.13873,1,784.29346,841.5713,1,826.32965,847.38794,1,791.15247,814.0411,0.9712659,828.3759,810.35657,0.99462557,861.1028,778.42865,1,935.03064,842.92444,1
"25",777.9182,875.2884,1,804.1972,860.97906,1,781.72784,846.9942,1,823.7805,847.61,0.92532915,785.7487,816.852,0.8949975,824.8116,812.249,0.9325791,858.0705,782.19135,1,934.4332,851.7854,1
"26",774.9453,879.3479,1,803.44055,862.4389,1,779.55634,847.3091,1,823.20184,847.50287,0.9630657,784.88385,817.36633,0.89591503,824.1135,814.00775,0.9067369,857.24567,785.4117,1,934.28357,856.864,1
"27",772.7589,884.523,1,801.33154,863.7628,1,778.4588,849.4586,1,821.0166,850.50757,1,783.1271,819.8623,0.95976985,823.0099,815.8056,0.9253463,856.55646,787.15137,1,932.41766,854.53467,1
"28",770.39685,886.17474,1,798.46265,863.875,1,776.1356,849.2847,1,818.5143,853.42114,1,782.0084,820.3872,0.978511,823.0317,816.64075,0.90167814,856.4832,789.4213,1,930.1369,858.70734,1
"29",768.955,887.671,1,796.3407,865.39014,1,773.7096,850.76953,1,816.8814,854.8424,1,779.5785,822.6493,1,819.7779,819.7271,1,852.45874,793.24585,1,935.45465,862.5583,1
"30",771.54474,891.9763,1,796.5178,866.7392,1,773.33215,851.1762,1,818.71234,855.4023,1,779.91986,822.9073,0.9996858,820.08624,820.70496,1,852.7006,793.5896,1,935.60095,860.07,1
"31",773.1208,890.3091,1,798.27466,865.99084,1,775.2191,851.3403,1,821.0352,854.89124,1,783.01215,822.81757,1,822.44305,820.89636,0.9917574,853.2377,793.74915,1,936.53516,855.8028,1
"32",776.63165,891.61017,1,801.4544,863.9736,1,775.9903,851.0857,1,822.33746,853.57477,1,783.69934,822.0594,1,823.6266,820.1994,0.98281723,853.8306,792.1777,1,936.9491,855.8536,1
"33",777.0353,891.04913,0.9542392,804.79346,864.8214,1,776.3837,850.8157,1,827.1829,852.11804,0.9839827,784.64307,821.3878,0.97351676,824.33923,819.0287,0.94949216,855.4442,789.8586,1,936.99585,852.62585,1
"34",776.41235,894.6883,0.95987314,804.9,868.6473,1,776.4245,854.0547,1,826.287,854.9722,0.920101,785.27905,823.80304,0.9628562,824.76495,820.3492,0.94754875,853.4574,791.3593,1,942.71216,836.858,1
"35",776.22943,898.11847,1,804.9941,868.7589,1,776.3337,853.5465,1,826.12915,854.93317,0.9242736,785.15497,823.7192,0.9587649,824.77484,820.4042,0.9460531,853.42053,791.46405,1,942.59973,836.8982,1
"36",775.9653,898.0272,1,804.9358,868.90295,1,776.61456,854.18066,1,826.48267,854.13904,0.92913073,785.36646,824.33777,0.95812726,825.3543,820.6137,0.9429002,854.01917,791.87885,1,942.58026,836.3103,1
"37",773.0801,890.84875,0.7613339,802.93744,867.83325,1,776.3014,852.00366,1,824.6776,855.5355,0.9869301,786.31274,823.8966,0.99906635,825.7628,820.1932,0.9676736,853.7962,791.4071,1,946.9455,833.8552,1
"38",772.8822,890.3399,0.9916204,802.64417,865.5679,1,776.51056,850.7006,1,823.60156,854.1866,0.9615651,785.66547,822.98566,1,825.7467,819.6733,0.96027595,853.78546,791.3464,1,947.00867,833.729,1
"39",774.5648,885.9346,1,802.23535,864.2483,1,777.0684,850.0374,1,822.97406,853.77106,0.99779475,785.4131,822.6555,0.99966115,825.80316,819.18787,0.9614227,854.0796,791.3246,1,946.8852,833.7188,1
"40",766.9516,875.21234,0.9721247,801.578,863.90686,1,775.8255,839.2498,0.95628715,822.9466,853.6456,0.9629961,788.747,815.84454,0.9919473,826.34106,819.29584,0.9546582,852.6744,792.4725,1,946.9258,831.7187,1
"41",760.3943,861.28906,1,800.01306,864.08856,0.98540515,777.8639,833.03735,1,820.48553,854.42737,0.99775153,791.018,814.6129,1,826.2522,820.2747,0.98299366,851.3077,793.61975,1,947.0039,831.8213,1
"42",755.3677,852.8358,1,791.54913,862.5025,1,778.6846,835.2553,1,815.8843,856.7537,0.97785777,789.72217,815.45715,1,826.24805,820.8737,1,851.1111,794.5313,1,947.96246,832.9769,1
"43",752.7706,847.7965,1,788.5883,862.72754,1,777.25,833.82446,1,814.67865,856.60834,0.9317413,789.1185,814.45764,1,824.55255,821.25964,1,849.90894,795.55774,1,947.8667,833.17786,1
"44",745.282,842.57434,1,777.8644,863.37476,1,772.82,834.5238,1,803.27954,860.1406,0.93675584,786.80475,815.3409,1,820.39594,824.7587,1,847.3856,797.587,1,947.26794,831.51666,1
