,VIDEO,ANIMAL,BODY-PART,SHAPE,TIME (S)
0,fixed_J1-491,Animal_1,Center,top_right_corner,9.600000000000001
1,fixed_J1-491,Animal_1,Center,bottom_right_corner,265.0
2,fixed_J1-491,Animal_1,Center,bottom_left_corner,20.6
3,fixed_J1-491,Animal_1,Center,top_left_corner,5.133333333333333
4,fixed_J1-491,Animal_1,Center,center,127.46666666666667
5,fixed_J1-564,Animal_1,Center,top_right_corner,48.333333333333336
6,fixed_J1-564,Animal_1,Center,bottom_right_corner,19.433333333333334
7,fixed_J1-564,Animal_1,Center,bottom_left_corner,110.96666666666665
8,fixed_J1-564,Animal_1,Center,top_left_corner,322.5333333333333
9,fixed_J1-564,Animal_1,Center,center,11.399999999999999
10,fixed_J6-491,Animal_1,Center,top_right_corner,8.333333333333334
11,fixed_J6-491,Animal_1,Center,bottom_right_corner,208.9
12,fixed_J6-491,Animal_1,Center,bottom_left_corner,33.86666666666667
13,fixed_J6-491,Animal_1,Center,top_left_corner,62.766666666666666
14,fixed_J6-491,Animal_1,Center,center,3.5
15,fixed_J6-564,Animal_1,Center,top_right_corner,3.7586206896551726
16,fixed_J6-564,Animal_1,Center,bottom_right_corner,249.51724137931035
17,fixed_J6-564,Animal_1,Center,bottom_left_corner,279.89655172413796
18,fixed_J6-564,Animal_1,Center,top_left_corner,13.517241379310345
19,fixed_J6-564,Animal_1,Center,center,33.310344827586206
